label,category,manhattan+chi-squared_topk_pct,manhattan+emd_topk_pct,manhattan+kullback-leibler_topk_pct
Bottle/D00020_rm.obj,Bottle,70.0,60.0,70.0
Bookset/D01042_rm.obj,Bookset,0.0,0.0,0.0
Bookset/D01096_rm.obj,Bookset,20.0,30.0,20.0
Bird/m40_rm.obj,Bird,20.0,10.0,40.0
Bottle/D00123_rm.obj,Bottle,70.0,30.0,60.0
Bookset/D01078_rm.obj,Bookset,0.0,10.0,10.0
Bird/m41_rm.obj,Bird,40.0,40.0,50.0
Bookset/D01108_rm.obj,Bookset,0.0,10.0,0.0
Bottle/D00208_rm.obj,Bottle,30.0,40.0,70.0
Bottle/D00176_rm.obj,Bottle,30.0,20.0,30.0
Bottle/D00166_rm.obj,Bottle,20.0,10.0,10.0
Bottle/D00281_rm.obj,Bottle,30.0,20.0,50.0
Bookset/D01109_rm.obj,Bookset,0.0,0.0,0.0
Bookset/D01135_rm.obj,Bookset,0.0,0.0,0.0
Bottle/D00347_rm.obj,Bottle,0.0,0.0,30.0
Bottle/D00350_rm.obj,Bottle,50.0,10.0,70.0
Bottle/D00311_rm.obj,Bottle,10.0,10.0,20.0
Bottle/D00451_rm.obj,Bottle,10.0,20.0,20.0
Bottle/D00390_rm.obj,Bottle,10.0,0.0,20.0
Bookset/D01183_rm.obj,Bookset,0.0,10.0,0.0
Bottle/D00696_rm.obj,Bottle,40.0,30.0,60.0
Bottle/D00679_rm.obj,Bottle,20.0,30.0,30.0
Bottle/D00711_rm.obj,Bottle,20.0,20.0,20.0
Bottle/D00892_rm.obj,Bottle,20.0,40.0,40.0
Bookset/D01184_rm.obj,Bookset,0.0,20.0,10.0
Bookset/D01199_rm.obj,Bookset,20.0,40.0,40.0
Bottle/D00716_rm.obj,Bottle,0.0,0.0,0.0
Bottle/D00726_rm.obj,Bottle,0.0,10.0,0.0
Bookset/D01038_rm.obj,Bookset,0.0,10.0,0.0
Bookset/D01190_rm.obj,Bookset,10.0,10.0,0.0
Bottle/D00959_rm.obj,Bottle,30.0,10.0,40.0
Bottle/D00940_rm.obj,Bottle,30.0,20.0,20.0
Bottle/m489_rm.obj,Bottle,30.0,10.0,30.0
Bottle/m488_rm.obj,Bottle,20.0,20.0,30.0
Bottle/D00139_rm.obj,Bottle,0.0,0.0,20.0
Bottle/m486_rm.obj,Bottle,40.0,30.0,50.0
Bottle/m492_rm.obj,Bottle,50.0,40.0,50.0
Bottle/m491_rm.obj,Bottle,20.0,20.0,10.0
Bottle/m490_rm.obj,Bottle,10.0,0.0,10.0
BuildingNonResidential/m382_rm.obj,BuildingNonResidential,20.0,10.0,10.0
BuildingNonResidential/m383_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m386_rm.obj,BuildingNonResidential,10.0,10.0,10.0
BuildingNonResidential/m385_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m387_rm.obj,BuildingNonResidential,10.0,20.0,10.0
BuildingNonResidential/m391_rm.obj,BuildingNonResidential,10.0,20.0,10.0
BuildingNonResidential/m393_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m395_rm.obj,BuildingNonResidential,10.0,10.0,10.0
BuildingNonResidential/m396_rm.obj,BuildingNonResidential,10.0,10.0,20.0
Bottle/m483_rm.obj,Bottle,20.0,10.0,40.0
Bottle/m484_rm.obj,Bottle,70.0,50.0,90.0
BuildingNonResidential/m397_rm.obj,BuildingNonResidential,10.0,10.0,10.0
Bottle/m482_rm.obj,Bottle,40.0,40.0,60.0
BuildingNonResidential/m400_rm.obj,BuildingNonResidential,20.0,30.0,10.0
Bottle/m485_rm.obj,Bottle,30.0,30.0,30.0
BuildingNonResidential/m398_rm.obj,BuildingNonResidential,20.0,0.0,10.0
BuildingNonResidential/m401_rm.obj,BuildingNonResidential,0.0,0.0,0.0
Bottle/m487_rm.obj,Bottle,30.0,40.0,50.0
BuildingNonResidential/m389_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m410_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m412_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m404_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m399_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m414_rm.obj,BuildingNonResidential,10.0,0.0,10.0
BuildingNonResidential/m402_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m394_rm.obj,BuildingNonResidential,20.0,20.0,20.0
BuildingNonResidential/m392_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m416_rm.obj,BuildingNonResidential,10.0,0.0,10.0
BuildingNonResidential/m415_rm.obj,BuildingNonResidential,0.0,10.0,0.0
BuildingNonResidential/m384_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m409_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m390_rm.obj,BuildingNonResidential,20.0,10.0,20.0
BuildingNonResidential/m418_rm.obj,BuildingNonResidential,10.0,10.0,10.0
BuildingNonResidential/m421_rm.obj,BuildingNonResidential,10.0,0.0,10.0
BuildingNonResidential/m420_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m472_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m407_rm.obj,BuildingNonResidential,0.0,10.0,0.0
BuildingNonResidential/m474_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m408_rm.obj,BuildingNonResidential,10.0,10.0,10.0
BuildingNonResidential/m475_rm.obj,BuildingNonResidential,20.0,10.0,20.0
BuildingNonResidential/m477_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m478_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m479_rm.obj,BuildingNonResidential,0.0,0.0,0.0
BuildingNonResidential/m481_rm.obj,BuildingNonResidential,20.0,10.0,20.0
BuildingNonResidential/m405_rm.obj,BuildingNonResidential,10.0,20.0,10.0
BuildingNonResidential/m413_rm.obj,BuildingNonResidential,10.0,10.0,10.0
BuildingNonResidential/m406_rm.obj,BuildingNonResidential,20.0,0.0,20.0
BuildingNonResidential/m471_rm.obj,BuildingNonResidential,0.0,0.0,0.0
Bus/D00084_rm.obj,Bus,50.0,40.0,50.0
